sample_id,asv_id,health,n_reads,rclr
2016_S_SB_D_250,ASV271,D,0,0
2016_S_SB_D_250,ASV272,D,0,0
2016_S_SB_D_250,ASV273,D,0,0
2016_S_SB_D_250,ASV275,D,0,0
2016_S_SB_D_250,ASV279,D,0,0
2016_S_SB_D_250,ASV280,D,0,0
2016_S_SB_D_250,ASV282,D,1,-1.303092236464901
2016_S_SB_D_250,ASV283,D,0,0
2016_S_SB_D_250,ASV285,D,0,0
2016_S_SB_D_250,ASV288,D,0,0
2016_S_SB_D_250,ASV289,D,0,0
2016_S_SB_D_250,ASV291,D,0,0
2016_S_SB_D_250,ASV292,D,0,0
2016_S_SB_D_250,ASV294,D,0,0
2016_S_SB_D_250,ASV296,D,0,0
2016_S_SB_D_250,ASV297,D,0,0
2016_S_SB_D_250,ASV299,D,0,0
2016_S_SB_D_250,ASV302,D,2,-0.6099450559049556
2016_S_SB_D_250,ASV304,D,0,0
2016_S_SB_D_250,ASV306,D,0,0
2016_S_SB_D_250,ASV310,D,0,0
2016_S_SB_D_250,ASV314,D,0,0
2016_S_SB_D_250,ASV316,D,0,0
2016_S_SB_D_250,ASV317,D,0,0
2016_S_SB_D_250,ASV318,D,0,0
2016_S_SB_D_250,ASV320,D,0,0
2016_S_SB_D_250,ASV322,D,0,0
2016_S_SB_D_250,ASV323,D,0,0
2016_S_SB_D_250,ASV325,D,0,0
2016_S_SB_D_250,ASV328,D,0,0
2016_S_SB_D_250,ASV329,D,0,0
2016_S_SB_D_250,ASV332,D,0,0
2016_S_SB_D_250,ASV333,D,0,0
2016_S_SB_D_250,ASV334,D,0,0
2016_S_SB_D_250,ASV335,D,0,0
2016_S_SB_D_250,ASV338,D,0,0
2016_S_SB_D_250,ASV339,D,0,0
2016_S_SB_D_250,ASV340,D,0,0
2016_S_SB_D_250,ASV342,D,0,0
2016_S_SB_D_250,ASV345,D,0,0
2016_S_SB_D_250,ASV346,D,0,0
2016_S_SB_D_250,ASV347,D,0,0
2016_S_SB_D_250,ASV353,D,0,0
2016_S_SB_D_250,ASV355,D,0,0
2016_S_SB_D_250,ASV357,D,0,0
2016_S_SB_D_250,ASV359,D,0,0
2016_S_SB_D_250,ASV362,D,0,0
2016_S_SB_D_250,ASV364,D,0,0
2016_S_SB_D_250,ASV365,D,0,0
2016_S_SB_D_250,ASV368,D,0,0
2016_S_SB_D_250,ASV370,D,0,0
2016_S_SB_D_250,ASV371,D,0,0
2016_S_SB_D_250,ASV373,D,0,0
2016_S_SB_D_250,ASV374,D,0,0
2016_S_SB_D_250,ASV375,D,0,0
2016_S_SB_D_250,ASV379,D,0,0
2016_S_SB_D_250,ASV382,D,0,0
2016_S_SB_D_250,ASV383,D,0,0
2016_S_SB_D_250,ASV385,D,0,0
2016_S_SB_D_250,ASV386,D,0,0
2016_S_SB_D_250,ASV388,D,0,0
2016_S_SB_D_250,ASV390,D,0,0
2016_S_SB_D_250,ASV392,D,0,0
2016_S_SB_D_250,ASV394,D,0,0
2016_S_SB_D_250,ASV395,D,0,0
2016_S_SB_D_250,ASV401,D,0,0
2016_S_SB_D_250,ASV403,D,0,0
2016_S_SB_D_250,ASV404,D,0,0
2016_S_SB_D_250,ASV405,D,0,0
2016_S_SB_D_250,ASV407,D,0,0
2016_S_SB_D_250,ASV411,D,0,0
2016_S_SB_D_250,ASV412,D,0,0
2016_S_SB_D_250,ASV413,D,0,0
2016_S_SB_D_250,ASV414,D,0,0
2016_S_SB_D_250,ASV415,D,0,0
2016_S_SB_D_250,ASV416,D,0,0
2016_S_SB_D_250,ASV417,D,0,0
2016_S_SB_D_250,ASV419,D,0,0
2016_S_SB_D_250,ASV423,D,0,0
2016_S_SB_D_250,ASV425,D,0,0
